Instance_Type,vCPU,Memory,Memory_Unit,Price_per_Hour,Price_Unit,Instance_Category
ml.t2.medium,2,4,GiB,0.056,USD,Standard Instances
ml.t2.large,2,8,GiB,0.111,USD,Standard Instances
ml.t2.xlarge,4,16,GiB,0.223,USD,Standard Instances
ml.t2.2xlarge,8,32,GiB,0.445,USD,Standard Instances
ml.m6g.large,2,8,GiB,0.0924,USD,Standard Instances
ml.m6g.xlarge,4,16,GiB,0.1848,USD,Standard Instances
ml.m6g.2xlarge,8,32,GiB,0.3696,USD,Standard Instances
ml.m6g.4xlarge,16,64,GiB,0.7392,USD,Standard Instances
ml.m6g.8xlarge,32,128,GiB,1.4784,USD,Standard Instances
ml.m6g.12xlarge,48,192,GiB,2.2176,USD,Standard Instances
ml.m6g.16xlarge,64,256,GiB,2.9568,USD,Standard Instances
ml.m6gd.large,2,8,GiB,0.1085,USD,Standard Instances
ml.m6gd.xlarge,4,16,GiB,0.217,USD,Standard Instances
ml.m6gd.2xlarge,8,32,GiB,0.4339,USD,Standard Instances
ml.m6gd.4xlarge,16,64,GiB,0.8678,USD,Standard Instances
ml.m6gd.8xlarge,32,128,GiB,1.7357,USD,Standard Instances
ml.m6gd.12xlarge,48,192,GiB,2.6035,USD,Standard Instances
ml.m6gd.16xlarge,64,256,GiB,3.4714,USD,Standard Instances
ml.m5.large,2,8,GiB,0.115,USD,Standard Instances
ml.m5.xlarge,4,16,GiB,0.23,USD,Standard Instances
ml.m5.2xlarge,8,32,GiB,0.461,USD,Standard Instances
ml.m5.4xlarge,16,64,GiB,0.922,USD,Standard Instances
ml.m5.12xlarge,48,192,GiB,2.765,USD,Standard Instances
ml.m5.24xlarge,96,384,GiB,5.53,USD,Standard Instances
ml.m5d.large,2,8,GiB,0.136,USD,Standard Instances
ml.m5d.xlarge,4,16,GiB,0.271,USD,Standard Instances
ml.m5d.2xlarge,8,32,GiB,0.542,USD,Standard Instances
ml.m5d.4xlarge,16,64,GiB,1.085,USD,Standard Instances
ml.m5d.12xlarge,48,192,GiB,3.254,USD,Standard Instances
ml.m5d.24xlarge,96,384,GiB,6.509,USD,Standard Instances
ml.m4.xlarge,4,16,GiB,0.24,USD,Standard Instances
ml.m4.2xlarge,8,32,GiB,0.48,USD,Standard Instances
ml.m4.4xlarge,16,64,GiB,0.96,USD,Standard Instances
ml.m4.10xlarge,40,160,GiB,2.4,USD,Standard Instances
ml.m4.16xlarge,64,256,GiB,3.84,USD,Standard Instances
ml.c7g.large,2,4,GiB,0.087,USD,Compute Optimized
ml.c7g.xlarge,4,8,GiB,0.174,USD,Compute Optimized
ml.c7g.2xlarge,8,16,GiB,0.348,USD,Compute Optimized
