Instance_Type,vCPU,Memory,Memory_Unit,Price_per_Hour,Price_Unit,Instance_Category
ml.m5.large,2,8,GiB,0.115,USD,Standard Instances
ml.m5.xlarge,4,16,GiB,0.23,USD,Standard Instances
ml.m5.2xlarge,8,32,GiB,0.461,USD,Standard Instances
ml.m5.4xlarge,16,64,GiB,0.922,USD,Standard Instances
ml.m5.12xlarge,48,192,GiB,2.765,USD,Standard Instances
ml.m5.24xlarge,96,384,GiB,5.53,USD,Standard Instances
ml.m4.xlarge,4,16,GiB,0.24,USD,Standard Instances
ml.m4.2xlarge,8,32,GiB,0.48,USD,Standard Instances
ml.m4.4xlarge,16,64,GiB,0.96,USD,Standard Instances
ml.m4.10xlarge,40,160,GiB,2.4,USD,Standard Instances
ml.m4.16xlarge,64,256,GiB,3.84,USD,Standard Instances
ml.c4.2xlarge,8,15,GiB,0.478,USD,Compute Optimized
ml.c4.4xlarge,16,30,GiB,0.955,USD,Compute Optimized
ml.c4.8xlarge,36,60,GiB,1.909,USD,Compute Optimized
ml.c4.xlarge,4,7.5,GiB,0.239,USD,Compute Optimized
ml.c5.18xlarge,72,144,GiB,3.672,USD,Compute Optimized
ml.c5.2xlarge,8,16,GiB,0.408,USD,Compute Optimized
ml.c5.4xlarge,16,32,GiB,0.816,USD,Compute Optimized
ml.c5.9xlarge,36,72,GiB,1.836,USD,Compute Optimized
ml.c5.xlarge,4,8,GiB,0.204,USD,Compute Optimized
ml.c5n.18xlarge,72,192,GiB,4.666,USD,Compute Optimized
ml.c5n.2xlarge,8,21,GiB,0.518,USD,Compute Optimized
ml.c5n.4xlarge,16,42,GiB,1.037,USD,Compute Optimized
ml.c5n.9xlarge,36,96,GiB,2.333,USD,Compute Optimized
ml.c5n.xlarge,4,10.5,GiB,0.259,USD,Compute Optimized
ml.p5.48xlarge,192,2048,GiB,113.07,USD,Accelerated Computing
ml.p4d.24xlarge,96,1152,GiB,37.688,USD,Accelerated Computing
ml.p4de.24xlarge,96,1152,GiB,47.1106,USD,Accelerated Computing
ml.p3.2xlarge,8,61,GiB,3.825,USD,Accelerated Computing
ml.p3.8xlarge,32,244,GiB,14.688,USD,Accelerated Computing
ml.p3.16xlarge,64,488,GiB,28.152,USD,Accelerated Computing
ml.p3dn.24xlarge,96,768,GiB,35.894,USD,Accelerated Computing
ml.p2.xlarge,4,61,GiB,1.125,USD,Accelerated Computing
ml.p2.8xlarge,32,488,GiB,8.64,USD,Accelerated Computing
ml.p2.16xlarge,64,732,GiB,16.56,USD,Accelerated Computing
ml.g5.xlarge,4,16,GiB,1.408,USD,Accelerated Computing
ml.g5.2xlarge,8,32,GiB,1.515,USD,Accelerated Computing
ml.g5.4xlarge,16,64,GiB,2.03,USD,Accelerated Computing
ml.g5.8xlarge,32,128,GiB,3.06,USD,Accelerated Computing
ml.g5.12xlarge,48,192,GiB,7.09,USD,Accelerated Computing
ml.g5.16xlarge,64,256,GiB,5.12,USD,Accelerated Computing
ml.g5.24xlarge,96,384,GiB,10.18,USD,Accelerated Computing
ml.g5.48xlarge,192,768,GiB,20.36,USD,Accelerated Computing
ml.g4dn.xlarge,4,16,GiB,0.736,USD,Accelerated Computing
ml.g4dn.2xlarge,8,32,GiB,0.94,USD,Accelerated Computing
ml.g4dn.4xlarge,16,64,GiB,1.505,USD,Accelerated Computing
ml.g4dn.8xlarge,32,128,GiB,2.72,USD,Accelerated Computing
ml.g4dn.12xlarge,48,192,GiB,4.89,USD,Accelerated Computing
ml.g4dn.16xlarge,64,256,GiB,5.44,USD,Accelerated Computing
ml.trn1.2xlarge,8,32,GiB,1.54,USD,Accelerated Computing
ml.trn1.32xlarge,128,512,GiB,24.73,USD,Accelerated Computing
ml.trn1n.32xlarge,128,512,GiB,28.5,USD,Accelerated Computing
